YYYY/MM/DD Time,PointA_latitude,PointA_longitude,PointB_latitude,PointB_longitude
2017/10/7 10:01,34.69738737,135.6096496,,
2017/10/7 10:05,35.8272407,139.9740969,,
2017/10/7 10:06,36.3382143,138.4904407,,
2017/10/7 10:14,32.7990066,130.7028266,32.79924108,130.7034703
2017/10/7 10:31,35.6353157,140.1466594,,
2017/10/7 10:35,35.70603114,139.9581863,,
2017/10/7 10:37,35.6608201,139.8694268,,
2017/10/7 10:45,36.4834257,139.8717264,,
2017/10/7 10:51,34.6359031,133.922952,,
2017/10/7 11:06,35.287181,135.1595721,,
2017/10/7 11:06,35.0753181,138.9257928,,
2017/10/7 11:07,35.83707502,139.3575308,,
2017/10/7 11:07,35.6976426,140.3018183,,
2017/10/7 11:15,33.0243359,130.4332583,,
2017/10/7 11:55,37.6708909,138.9041335,,
2017/10/7 12:02,37.21413007,136.8757514,,
2017/10/7 12:14,35.5425671,140.137744,,
2017/10/7 12:29,43.0634712,141.4367797,,
2017/10/7 12:37,34.72675317,135.3785566,,
2017/10/7 12:43,35.89125646,139.9244143,,
2017/10/7 13:03,43.0959855,141.5280927,,
2017/10/7 13:06,35.9730298,140.1465388,,
2017/10/7 13:11,35.72425842,139.7778168,,
2017/10/7 13:26,36.50962918,136.5642035,36.51061224,136.5661776
2017/10/7 13:31,39.2961407,140.5279124,,
2017/10/7 14:00,35.62906715,138.6483982,,
2017/10/7 14:18,35.7750968,139.786806,,
2017/10/7 14:28,35.8744149,140.0493626,35.8744149,140.0493626
2017/10/7 14:38,35.8740154,140.0492615,,
2017/10/7 14:40,35.37127141,138.9269537,,
2017/10/7 14:52,35.75087143,135.16733,,
2017/10/7 14:57,35.48996655,139.3688926,,
2017/10/7 14:59,35.67387764,139.7542336,,
2017/10/7 15:00,35.23533682,136.8358435,,
2017/10/7 15:03,39.0421615,141.1203209,,
2017/10/7 15:12,31.89213479,131.4019449,31.89153813,131.402358
2017/10/7 15:23,36.31346237,139.0439492,,
2017/10/7 15:24,36.31366986,139.0435845,,
2017/10/7 15:35,34.91496994,137.2059625,,
2017/10/7 15:35,34.91496994,137.2059625,,
2017/10/7 15:57,36.34225405,139.0083152,,
2017/10/7 15:58,33.5525492,130.4469351,33.55243634,130.4467024
2017/10/7 16:21,32.40418451,131.6252232,,
2017/10/7 16:30,36.49196901,139.9059003,,
2017/10/7 16:50,35.6472934,139.7305856,,
2017/10/7 16:51,35.1038992,136.9452716,,
2017/10/7 16:53,36.72178098,137.2500252,,
2017/10/7 17:03,34.60691879,135.5031459,34.60913266,135.505963
2017/10/7 17:08,33.63930028,130.4648158,,
2017/10/7 17:09,34.7471096,135.5754755,,
2017/10/7 17:09,34.7471096,135.5754755,,
2017/10/7 17:17,34.76200495,135.4468951,,
2017/10/7 17:19,34.02484534,131.8520312,,
2017/10/7 17:31,34.7242061,134.8530291,,
2017/10/7 17:52,34.99710244,136.5999818,,
2017/10/7 18:03,35.9218564,139.9538331,,
2017/10/7 18:09,35.9903289,140.130543,,
2017/10/7 18:18,35.65672689,139.5668474,35.65672689,139.5668474
2017/10/7 18:19,35.7936812,139.5373868,,
2017/10/7 18:42,34.79706469,135.448218,,
2017/10/7 18:50,35.7184864,139.4971038,,
2017/10/7 19:02,43.76682528,142.2817795,,
2017/10/7 19:24,37.75387287,139.0081,,
2017/10/7 19:26,35.89250842,140.3506758,,
2017/10/7 19:30,34.7998864,135.5809177,,
2017/10/7 19:35,34.2392396,135.1683396,,
2017/10/7 20:03,35.8072873,139.4065295,,
2017/10/7 20:29,33.7766065,130.9777735,,
2017/10/7 20:43,42.8416262,140.6235503,,
2017/10/7 21:13,33.53915008,130.4726815,,
2017/10/7 22:13,38.77509289,141.2345424,,
2017/10/7 22:16,35.71191888,139.7770508,,
2017/10/7 23:00,35.6858871,138.5120881,,
2017/10/7 23:15,35.84300472,139.3672736,,
2017/10/7 23:56,35.70288507,139.76804,,
2017/10/8 0:07,35.70289866,139.7681564,,
2017/10/8 0:51,31.618791,130.5255903,,
2017/10/8 3:58,34.64725245,135.7678177,,
2017/10/8 4:55,36.27123813,140.4844711,,
2017/10/8 5:04,34.86021989,136.5400264,,
2017/10/8 5:24,42.3461581,140.2811294,,
2017/10/8 5:38,34.97696409,137.1365309,,
2017/10/8 6:14,35.73053743,139.8468565,,
2017/10/8 8:16,26.2028385,127.7003097,,
2017/10/8 8:19,34.73716601,135.35452,,
2017/10/8 8:24,35.79552078,140.1845899,,
2017/10/8 8:36,37.6982634,139.0359149,,
2017/10/8 8:43,35.01677915,135.7721992,,
2017/10/8 8:43,34.86215726,136.8176693,,
2017/10/8 8:45,43.08083868,141.3593599,,
2017/10/8 8:53,33.3665609,130.62394,,
2017/10/8 9:12,34.9610503,138.3780123,,
2017/10/8 9:22,37.60479808,138.9007169,,
2017/10/8 9:32,34.90243634,135.3640276,,
2017/10/8 9:38,34.4506389,133.8014576,,
2017/10/8 9:39,34.74684473,135.4295675,,
2017/10/8 9:41,34.85153679,138.2992788,,
2017/10/8 10:12,34.47279871,134.8763121,,
2017/10/8 10:21,35.6059359,138.5391153,35.60561761,138.5385743
2017/10/8 10:27,34.9750388,137.1589079,34.97280054,137.1558618
2017/10/8 10:35,33.69655509,131.0086032,,
2017/10/8 10:38,35.76809155,139.6884124,,
2017/10/8 10:42,34.40121526,132.4173035,,
2017/10/8 10:44,34.05239792,134.5743157,,
2017/10/8 10:50,35.675759,140.1616112,,
2017/10/8 10:54,35.53657711,139.4349697,35.53657711,139.4351628
2017/10/8 11:04,35.75616924,140.2966263,,
2017/10/8 11:20,36.00358084,139.2728923,,
2017/10/8 11:20,32.86317294,131.0797073,,
2017/10/8 11:50,35.5882334,140.1224894,,
2017/10/8 12:07,35.06729914,137.553728,,
2017/10/8 12:27,36.0952451,140.2909823,,
2017/10/8 12:29,42.78709354,141.6804936,,
2017/10/8 12:37,42.78709354,141.6804936,,
2017/10/8 12:39,34.85771074,138.3238902,,
2017/10/8 12:48,35.69369391,139.9242582,35.6940137,139.9244265
2017/10/8 12:48,35.8597094,139.4488483,,
2017/10/8 13:05,34.1213702,131.0321459,,
2017/10/8 13:14,26.23565413,127.6845961,,
2017/10/8 13:20,34.4012518,132.488231,34.4011509,132.4883203
2017/10/8 13:21,35.75381502,139.6232639,,
2017/10/8 13:28,36.5651916,136.6258831,,
2017/10/8 13:41,35.98065097,140.0597492,,
2017/10/8 14:35,43.14439243,141.2451267,,
2017/10/8 14:57,36.58148114,139.9159643,36.58175683,139.916093
2017/10/8 15:07,35.6159265,139.6871193,,
2017/10/8 15:17,44.14260776,142.3981981,,
2017/10/8 15:23,32.7749674,129.862573,32.7749674,129.862573
2017/10/8 15:25,33.87543047,133.9244616,,
2017/10/8 15:27,34.1123664,133.6514711,,
2017/10/8 15:33,35.42169997,139.5956027,,
2017/10/8 15:42,35.5152691,137.8382535,,
2017/10/8 15:44,34.37979475,135.2676887,,
2017/10/8 15:54,35.1344724,139.6218439,,
2017/10/8 15:58,35.1389152,139.62433,35.13421241,139.6216263
2017/10/8 16:05,34.69186728,134.8792427,,
2017/10/8 16:06,35.1534869,138.636825,,
2017/10/8 16:07,36.39510952,136.4589053,,
2017/10/8 16:32,34.67889555,135.5143323,,
2017/10/8 16:50,36.8306944,138.7806139,,
2017/10/8 16:51,36.3175916,139.6182749,,
2017/10/8 16:55,36.22304506,138.3625817,,
2017/10/8 17:03,35.51350726,139.4654201,,
2017/10/8 17:05,35.9169106,138.1712614,,
2017/10/8 17:19,35.69612977,140.2924704,,
2017/10/8 17:39,39.83234506,141.9784511,,
2017/10/8 17:48,33.97197356,134.6364775,,
2017/10/8 17:59,34.03622238,133.8953937,,
2017/10/8 18:08,33.56145687,130.4688059,,
2017/10/8 18:09,33.56145687,130.4688059,,
2017/10/8 18:39,35.55045897,139.7862274,,
2017/10/8 18:50,31.57430256,130.4656588,,
2017/10/8 18:56,35.55045897,139.7862274,,
2017/10/8 19:04,35.73329211,139.7689366,35.72981187,139.7702289
2017/10/8 19:13,36.33012323,139.0147492,,
2017/10/8 19:36,35.670188,139.8250204,,
2017/10/8 20:08,35.46680332,139.5358092,,
2017/10/8 20:35,35.95639749,139.7278505,,
2017/10/8 20:38,35.95633672,139.7278253,,
2017/10/8 20:41,33.8789479,130.8823511,,
2017/10/8 21:38,36.35402598,139.0111228,,
2017/10/8 22:23,36.0547025,139.6268686,,
2017/10/8 22:25,34.84849482,137.2341749,,
2017/10/8 22:39,36.7077872,140.7082952,,
2017/10/8 22:46,35.9239252,140.1230949,,
2017/10/9 5:59,34.84118973,137.7534071,,
2017/10/9 6:42,35.6444075,140.074109,35.64298515,140.076983
2017/10/9 7:06,33.84096309,130.9008141,,
2017/10/9 7:15,35.28572199,136.9740466,,
2017/10/9 7:54,33.2515125,130.3034322,,
2017/10/9 8:01,36.35366898,139.2487287,,
